content,score,Label
driver terbaik,5,Positif
Supir nya pada pemalas,1,Negatif
sangat sangat membantu,5,Positif
god job,5,Positif
mantap driver nya,5,Positif
memuaskan,5,Positif
bgus,5,Positif
pas,5,Positif
Mantap,5,Positif
"ini saya mau login tidak bisa , kode otp login nya tidak dikirim-kirim...",2,Negatif
nice,5,Positif
drivernya ramah,5,Positif
"keren, beneran kerennn",5,Positif
"Hati2 argo maxim sekarng berubah,buat para penumpang jika driver belum datang dan ada notif driver sudah sampai langsung anda cancel karena argo berubah ada argo tambahan.. Permainan argo hati2",1,Negatif
nyaman dan rama,5,Positif
pelayanan bagus..,5,Positif
ok,4,Positif
sangat baik,5,Positif
penjemputan tempat waktu,5,Positif
terima kasih pak supie nya baik,5,Positif
terima kasih,5,Positif
Sngat mantap juga naik maxim👍,5,Positif
"tau gaaa capenyaa menunggu pas perut lagi laperrr, tolong diperbanyak pengemudi yaa",1,Negatif
top,5,Positif
"Pengemudi: Abdi Negara Simorangkir dengan Motorcycle, warna putih, nopol BP3984MD. Selamat menikmati perjalanan!",5,Positif
titik lokasi tidak terdeteksi jadinya pilih yang terdekat,4,Positif
sangat ramah,5,Positif
baik,5,Positif
mangau mantap bangau,5,Positif
"aman , nyaman , bersih",3,
udah 2x instal maxim dan udah 2x juga aku uninstal maxim. instal yg kedua di kira maxim ada perubahan dari maps nya ternyata sama aja. alamat yg udh ada di google maps tidak muncul di maxim. maxim tidak mau berkembang seperti aplikasi ojol yg lain. 👎,1,Negatif
"nice, even badmood",5,Positif
Bagus,4,Positif
memuaskan,5,Positif
"apk nya udah bagus kak, tapi mohon di tambahin untuk mengirim pesan je sesama pengguna dong kakk",4,Positif
mempermudah perjalanan dan sangat murah,5,Positif
baik,5,Positif
Cepat dan baik tanggapannya,5,Positif
makasih banyak pak,5,Positif
ramah banget driver nya dan asik juga,5,Positif
"maxim makin lama makin gajelas ya , aku udah setengah jam yg lalu order , gadapet dapet pengantar makanan nya , segera diperbaiki lah , gimana kalo lagi kepepet laper",3,
Max food nya👎,1,Negatif
oke,5,Positif
Kenapa lama sekali mencari pengemudi,1,Negatif
sangat bagus,5,Positif
ok,5,Positif
ramah abangnya,5,Positif
keren,5,Positif
terimakasih supirnya baik dan sangat ramah,5,Positif
Myrah dan cepat layanannya,5,Positif
bagus,5,Positif
argo murah sangat membantu terima kasih,5,Positif
cepet dan respon,5,Positif
"sangat cepat dan mudah ,",5,Positif
ramah dan mantap,5,Positif
Driver sopan ramah dan baik,5,Positif
maps kurang bagus..jangan diinstal ini..,1,Negatif
enak sekali drever nya . makasih maxim,5,Positif
harga murah meriah,5,Positif
pelayanan OK banget,5,Positif
baik ramah,5,Positif
mantap,5,Positif
ramah,5,Positif
Driver banyak tidak profesional,1,Negatif
sukses selalu,5,Positif
mantap,5,Positif
App gaje,1,Negatif
driverx ramah,5,Positif
